小区名称,类型,区域(行政区),商圈板块,城市,数据来源
泰宸景苑,住宅,嘉定,丰庄,上海,fang.com
嘉泰花园公寓,住宅,嘉定,丰庄,上海,fang.com
金祥坊,住宅,嘉定,丰庄,上海,fang.com
丰庄十四街坊,住宅,嘉定,丰庄,上海,fang.com
泰宸新苑,住宅,嘉定,丰庄,上海,fang.com
湖畔天下,住宅,嘉定,南翔,上海,fang.com
翔和雅苑,住宅,嘉定,南翔,上海,fang.com
上海西环中心星信名邸,住宅,嘉定,南翔,上海,fang.com
金地格林公馆,住宅,嘉定,南翔,上海,fang.com
金地格林世界森林公馆,住宅,嘉定,南翔,上海,fang.com
华润中央公园,住宅,嘉定,南翔,上海,fang.com
华谊逸品澜湾,住宅,嘉定,南翔,上海,fang.com
漪园新村,住宅,嘉定,南翔,上海,fang.com
路劲翡丽湾,住宅,嘉定,南翔,上海,fang.com
民东公寓,住宅,嘉定,南翔,上海,fang.com
金地格林世界高尔夫公馆,住宅,嘉定,南翔,上海,fang.com
中冶祥腾城市佳园,住宅,嘉定,南翔,上海,fang.com
德华二村,住宅,嘉定,南翔,上海,fang.com
季景铭郡,住宅,嘉定,南翔,上海,fang.com
南华小区,住宅,嘉定,南翔,上海,fang.com
中建溪岸澜庭,住宅,嘉定,南翔,上海,fang.com
宏立瑞园,住宅,嘉定,南翔,上海,fang.com
同盛公寓,住宅,嘉定,南翔,上海,fang.com
翔华新村,住宅,嘉定,南翔,上海,fang.com
上隽嘉苑,住宅,嘉定,南翔,上海,fang.com
嘉宝新苑,住宅,嘉定,南翔,上海,fang.com
三湘森林海尚,住宅,嘉定,南翔,上海,fang.com
翔瑞新苑,住宅,嘉定,南翔,上海,fang.com
永翔佳苑,住宅,嘉定,南翔,上海,fang.com
红翔新村,住宅,嘉定,南翔,上海,fang.com
虹翔公寓,住宅,嘉定,南翔,上海,fang.com
古猗园路355弄小区,住宅,嘉定,南翔,上海,fang.com
金地格林世界圣莫尼卡,住宅,嘉定,南翔,上海,fang.com
德华四村,住宅,嘉定,南翔,上海,fang.com
金地格林世界卢尔公寓,住宅,嘉定,南翔,上海,fang.com
新里崴廉公馆,住宅,嘉定,南翔,上海,fang.com
银翔新村,住宅,嘉定,南翔,上海,fang.com
骏丰嘉骊花园,住宅,嘉定,南翔,上海,fang.com
银凯公寓,住宅,嘉定,南翔,上海,fang.com
绿洲古猗新苑,住宅,嘉定,南翔,上海,fang.com
祥源福邸,住宅,嘉定,南翔,上海,fang.com
德华三村,住宅,嘉定,南翔,上海,fang.com
好世凤翔苑,住宅,嘉定,南翔,上海,fang.com
德华一村,住宅,嘉定,南翔,上海,fang.com
利翔公寓,住宅,嘉定,南翔,上海,fang.com
布鲁斯郡(公寓住宅),住宅,嘉定,南翔,上海,fang.com
金地格林世界白金院邸花园洋房,住宅,嘉定,南翔,上海,fang.com
金地格林世界布鲁斯郡小区,住宅,嘉定,南翔,上海,fang.com
绿城留香园,住宅,嘉定,南翔,上海,fang.com
南华二村,住宅,嘉定,南翔,上海,fang.com
瑞和云庭,住宅,嘉定,南翔,上海,fang.com
泰翔嘉苑,住宅,嘉定,南翔,上海,fang.com
翔瑞新苑东区,住宅,嘉定,南翔,上海,fang.com
云翔佳苑,住宅,嘉定,南翔,上海,fang.com
新成三坊四坊,住宅,嘉定,嘉定城区,上海,fang.com
迎园新村二坊,住宅,嘉定,嘉定城区,上海,fang.com
南陈小区,住宅,嘉定,嘉定城区,上海,fang.com
信义嘉庭,住宅,嘉定,嘉定城区,上海,fang.com
嘉星小区,住宅,嘉定,嘉定城区,上海,fang.com
李园二村,住宅,嘉定,嘉定城区,上海,fang.com
迎园新村十坊,住宅,嘉定,嘉定城区,上海,fang.com
嘉乐东润舒庭,住宅,嘉定,嘉定城区,上海,fang.com
李园一村,住宅,嘉定,嘉定城区,上海,fang.com
新成六坊,住宅,嘉定,嘉定城区,上海,fang.com
新城金郡,住宅,嘉定,嘉定新城,上海,fang.com
保利家园,住宅,嘉定,嘉定新城,上海,fang.com
保利星海屿,住宅,嘉定,嘉定新城,上海,fang.com
龙湖郦城,住宅,嘉定,嘉定新城,上海,fang.com
保利湖畔阳光苑,住宅,嘉定,嘉定新城,上海,fang.com
盘古天地,住宅,嘉定,嘉定新城,上海,fang.com
阳光里,住宅,嘉定,嘉定新城,上海,fang.com
嘉宝梦之缘景庭,住宅,嘉定,嘉定新城,上海,fang.com
中信泰富又一城,住宅,嘉定,嘉定新城,上海,fang.com
嘉宝紫提湾,住宅,嘉定,嘉定新城,上海,fang.com
远香舫新苑,住宅,嘉定,嘉定新城,上海,fang.com
西郊金茂府,住宅,嘉定,嘉定新城,上海,fang.com
金地世家,住宅,嘉定,嘉定新城,上海,fang.com
新城香溢璟庭1期,住宅,嘉定,嘉定新城,上海,fang.com
白银时代,住宅,嘉定,嘉定新城,上海,fang.com
保利天鹅语,住宅,嘉定,嘉定新城,上海,fang.com
盘古园府,住宅,嘉定,嘉定新城,上海,fang.com
枫树林景苑,住宅,嘉定,嘉定新城,上海,fang.com
恒大御景湾,住宅,嘉定,嘉定新城,上海,fang.com
骏丰玲珑坊,住宅,嘉定,嘉定新城,上海,fang.com
秋霞坊,住宅,嘉定,嘉定新城,上海,fang.com
保利天琴宇,住宅,嘉定,嘉定新城,上海,fang.com
风荷丽景,住宅,嘉定,嘉定新城,上海,fang.com
龙湖蔚澜香醍公寓,住宅,嘉定,嘉定新城,上海,fang.com
中信泰富又一城雅苑,住宅,嘉定,嘉定新城,上海,fang.com
佳兆业1号,住宅,嘉定,嘉定新城,上海,fang.com
远香湖1号,住宅,嘉定,嘉定新城,上海,fang.com
绿地颐景嘉园,住宅,嘉定,嘉定新城,上海,fang.com
阳光城新界,住宅,嘉定,嘉定新城,上海,fang.com
臻品嘉园东区,住宅,嘉定,嘉定新城,上海,fang.com
安高东方御府,住宅,嘉定,嘉定新城,上海,fang.com
马陆清水湾公寓,住宅,嘉定,嘉定新城,上海,fang.com
远香舫嘉苑,住宅,嘉定,嘉定新城,上海,fang.com
常发豪庭国际,住宅,嘉定,嘉定新城,上海,fang.com
盘古嘉德,住宅,嘉定,嘉定新城,上海,fang.com
上实海上公元,住宅,嘉定,嘉定新城,上海,fang.com
好世皇马苑,住宅,嘉定,嘉定新城,上海,fang.com
新城香溢璟庭2期,住宅,嘉定,嘉定新城,上海,fang.com
