小区名称,类型,区域(行政区),商圈板块,城市,数据来源
富颐星城公馆,商业,嘉定,丰庄,上海,fang.com
金沙丽晶苑二期,商业,嘉定,丰庄,上海,fang.com
V格时代广场商住楼,商业,嘉定,丰庄,上海,fang.com
湖畔天下商住楼,商业,嘉定,南翔,上海,fang.com
旭辉U天地商住楼,商业,嘉定,南翔,上海,fang.com
安居时代广场商住楼,商业,嘉定,南翔,上海,fang.com
海伦堡爱ME城市,商业,嘉定,南翔,上海,fang.com
金地格林公馆商住楼,商业,嘉定,南翔,上海,fang.com
嘉天下休闲广场商住楼,商业,嘉定,南翔,上海,fang.com
连飞虹湖天地商住楼,商业,嘉定,南翔,上海,fang.com
南翔镇民主街商住楼,商业,嘉定,南翔,上海,fang.com
青年创社,商业,嘉定,南翔,上海,fang.com
世盟壹天地商住楼,商业,嘉定,南翔,上海,fang.com
上隽嘉苑商住楼,商业,嘉定,南翔,上海,fang.com
通用国际商住楼,商业,嘉定,南翔,上海,fang.com
新城公馆商住楼,商业,嘉定,南翔,上海,fang.com
祥源福邸商住楼,商业,嘉定,南翔,上海,fang.com
新华悦都商住楼,商业,嘉定,南翔,上海,fang.com
铂悦818商住楼,商业,嘉定,嘉定城区,上海,fang.com
复华购物广场,商业,嘉定,嘉定城区,上海,fang.com
红土天阶商住楼,商业,嘉定,嘉定城区,上海,fang.com
汇城公寓商住楼,商业,嘉定,嘉定城区,上海,fang.com
嘉福汇商住楼,商业,嘉定,嘉定城区,上海,fang.com
嘉领国际商住楼,商业,嘉定,嘉定城区,上海,fang.com
嘉新公路226-1号,商业,嘉定,嘉定城区,上海,fang.com
新城香溢都荟,商业,嘉定,嘉定城区,上海,fang.com
悦华公寓商住楼,商业,嘉定,嘉定城区,上海,fang.com
保利湖畔阳光苑商住楼,商业,嘉定,嘉定新城,上海,fang.com
创融嘉天地商住楼,商业,嘉定,嘉定新城,上海,fang.com
光明D9空间商住楼,商业,嘉定,嘉定新城,上海,fang.com
合景峰汇,商业,嘉定,嘉定新城,上海,fang.com
晶鼎大厦商住楼,商业,嘉定,嘉定新城,上海,fang.com
骏丰玲珑坊青俊公馆,商业,嘉定,嘉定新城,上海,fang.com
秀泰天地商业广场,商业,嘉定,嘉定新城,上海,fang.com
澳丰御府,商业,嘉定,嘉定新城,上海,fang.com
